Feature,MeanAbsSHAP
logP,0.43941155
Bit_1313,0.29420638
Bit_381,0.18710002
Bit_119,0.07961606
HydrationFreeEnergy_FreeSolv,0.072691366
stereo_centers,0.06805687
tpsa,0.05310487
hydrogen_bond_donors,0.052388277
Bit_31,0.04163023
Solubility_AqSolDB,0.040997654
molecular_weight,0.039851237
Bit_1783,0.038544558
Bit_1564,0.03728682
Bit_378,0.036486298
hydrogen_bond_acceptors,0.033700813
Bit_455,0.027838713
Bit_1073,0.026427533
Bit_745,0.026101012
Bit_162,0.023698715
Bit_1778,0.021365942
Bit_650,0.020713838
Bit_680,0.02061514
Bit_252,0.017938409
Bit_1475,0.017593523
Bit_656,0.017345112
Bit_1052,0.016225481
Bit_1602,0.015224752
Bit_1917,0.014294272
Bit_935,0.014241609
Bit_314,0.014041093
Bit_1712,0.013164367
Bit_2035,0.013064691
Bit_504,0.012936414
Bit_898,0.0129004475
Bit_1928,0.012680426
Bit_1373,0.012064354
Bit_1911,0.011314644
Bit_970,0.011150011
Bit_1292,0.010921215
Bit_484,0.010781692
Bit_571,0.010649245
Bit_1391,0.010408862
Bit_926,0.010370801
Bit_1697,0.010021215
Bit_1114,0.009791906
Bit_903,0.009751569
Bit_1745,0.00974735
Bit_1308,0.009418642
Bit_25,0.009108683
Bit_13,0.009056759
Bit_45,0.0088393055
Bit_1832,0.008757891
Bit_1160,0.008504572
Bit_1754,0.008478846
Bit_525,0.00835875
Bit_1648,0.007954201
Bit_305,0.0077915615
Bit_896,0.007054872
Bit_1385,0.0069155735
Bit_1607,0.0068942984
Bit_203,0.006497499
Bit_1482,0.0062319827
Bit_1737,0.0061812666
Bit_1163,0.0060296734
Bit_2,0.006005527
Bit_646,0.005774277
Bit_1108,0.0056707743
Bit_294,0.005634379
Bit_713,0.005529856
Bit_9,0.0054548564
Bit_1476,0.0054351273
Bit_1888,0.0053578215
Bit_1803,0.0053165182
Bit_408,0.0052899104
Bit_1168,0.00528244
Bit_804,0.0052677696
Bit_54,0.005229147
Bit_522,0.0051563527
Bit_1538,0.005133769
Bit_1980,0.005023205
Bit_1582,0.005017683
Bit_394,0.0050061834
Bit_473,0.0049613384
Bit_875,0.004875223
Bit_1468,0.00480211
Bit_734,0.004714395
Bit_783,0.0046164165
Bit_38,0.0046128873
Bit_1722,0.004567808
Bit_852,0.004549917
Bit_231,0.004542047
Bit_1309,0.0044647
Bit_80,0.0044258186
Bit_1233,0.004408186
Bit_289,0.0042846156
Bit_2007,0.004257966
Bit_304,0.004223508
Bit_1775,0.0041553765
Bit_695,0.0041138637
Bit_736,0.0041072434
Bit_1057,0.0040930496
Bit_841,0.0039687427
Bit_1696,0.0039627915
Bit_694,0.0039102947
Bit_1181,0.0039024057
Bit_1157,0.0038539711
Bit_1039,0.0038107308
Bit_567,0.00380093
Bit_1536,0.0037952468
Bit_389,0.003773802
Bit_1855,0.0037732918
Bit_1915,0.0037732725
Bit_1017,0.0036926277
Bit_1453,0.0036891035
Bit_835,0.003688067
Bit_1420,0.003625166
Bit_1357,0.0035907486
Bit_116,0.0035860345
Bit_1458,0.0035756917
Bit_1053,0.0035202818
Bit_1142,0.0035176282
Bit_1750,0.0035041731
Bit_750,0.0035009552
Bit_222,0.0034858787
Bit_1960,0.0034129487
Bit_1199,0.003363349
Bit_218,0.003322356
Bit_1236,0.0031993021
Bit_202,0.0031979447
Bit_1035,0.003191787
Bit_1064,0.0031443646
Bit_828,0.0031116372
Bit_63,0.0031110207
Bit_1019,0.0030557718
Bit_1027,0.003051934
Bit_114,0.003051314
Bit_1130,0.0030499098
Bit_322,0.003031272
Bit_1028,0.0030043176
Bit_2034,0.0030016562
Bit_801,0.0029562926
Bit_1,0.002931925
Bit_533,0.002911352
Bit_1410,0.002869055
Bit_675,0.0028208832
Bit_1618,0.0028066295
Bit_1770,0.0027370118
Bit_1152,0.0027367482
Bit_471,0.0026638077
Bit_881,0.002660602
Bit_1136,0.0026363914
Bit_416,0.0026271364
Bit_1171,0.0025725646
Bit_1285,0.0025469207
Bit_837,0.0025440473
Bit_133,0.002536725
Bit_1444,0.0025353704
Bit_988,0.002526058
Bit_1511,0.0024524126
Bit_1034,0.0024408344
Bit_781,0.0024272357
Bit_699,0.0024222026
Bit_1273,0.0024042896
Bit_718,0.0023919898
Bit_1943,0.0023855218
Bit_310,0.002363713
Bit_2017,0.0023563239
Bit_352,0.0023552456
Bit_1239,0.00234454
Bit_84,0.002342069
Bit_1094,0.0023315395
Bit_144,0.0023088064
Bit_1422,0.002302257
Bit_725,0.0022996468
Bit_1063,0.0022807315
Bit_1452,0.002279485
Bit_581,0.0022783626
Bit_96,0.0022388927
Bit_937,0.0022375097
Bit_1048,0.002234464
Bit_1487,0.0022186805
Bit_802,0.0021889445
Bit_1164,0.0021698775
Bit_1446,0.0021627229
Bit_1683,0.0021578507
Bit_490,0.0021550884
Bit_562,0.0021527237
Bit_1281,0.002148794
Bit_213,0.0021428878
Bit_1659,0.0021361145
Bit_1205,0.0021263359
Bit_1972,0.0020996258
Bit_1143,0.002092763
Bit_155,0.002062179
Bit_508,0.0020424586
Bit_167,0.0020184852
Bit_1617,0.0020098113
Bit_1733,0.001993692
Bit_1417,0.0019798828
Bit_1594,0.001972146
Bit_351,0.0019566761
Bit_640,0.001956446
Bit_1231,0.0019450113
Bit_1088,0.0019357929
Bit_233,0.0019263652
Bit_624,0.0019071914
Bit_1671,0.0019004171
Bit_1804,0.0018806501
Bit_561,0.0018735889
Bit_1421,0.0018662338
Bit_1279,0.001862225
Bit_438,0.00183008
Bit_940,0.001827066
Bit_216,0.0018006399
Bit_1368,0.0017985872
Bit_1816,0.0017919431
Bit_319,0.0017916168
Bit_621,0.0017913082
Bit_602,0.0017908444
Bit_141,0.001783835
Bit_878,0.0017762425
Bit_1631,0.0017752448
Bit_1325,0.001756227
Bit_714,0.0017278354
Bit_941,0.0017268341
Bit_1449,0.0017177659
Bit_28,0.001717467
Bit_1179,0.0017173593
Bit_751,0.0017140957
Bit_1984,0.0016889451
Bit_787,0.0016821534
Bit_810,0.0016498953
Bit_1360,0.0016485528
Bit_1401,0.0016283087
Bit_1145,0.0016264971
Bit_529,0.0016245883
Bit_1985,0.0016099862
Bit_1717,0.0016063964
Bit_823,0.0015988221
Bit_1941,0.0015828875
Bit_589,0.0015704957
Bit_1089,0.0015576889
Bit_1660,0.0015502739
Bit_7,0.0015484812
Bit_1898,0.0015414791
Bit_1528,0.0015408221
Bit_2040,0.0015386904
Bit_58,0.0015370873
Bit_1686,0.0015354024
Bit_950,0.001530863
Bit_102,0.0015154757
Bit_1961,0.0015042857
Bit_11,0.0015000607
Bit_652,0.0014926307
Bit_1274,0.0014922534
Bit_293,0.0014851561
Bit_1874,0.0014845149
Bit_831,0.0014729317
Bit_743,0.0014670081
Bit_403,0.0014527049
Bit_472,0.001449582
Bit_1085,0.0014419276
Bit_1256,0.0014266722
Bit_1110,0.0014204805
Bit_976,0.001401309
Bit_343,0.0013940213
Bit_92,0.0013815719
Bit_1255,0.001378638
Bit_983,0.001376117
Bit_1000,0.0013671232
Bit_1097,0.0013649976
Bit_1066,0.0013347588
Bit_1532,0.0013340976
Bit_1825,0.0013313458
Bit_328,0.0013225774
Bit_1957,0.0013187967
Bit_1299,0.0013187192
Bit_1072,0.0013182018
Bit_1465,0.0013032273
Bit_1621,0.0012893543
Bit_1450,0.0012824958
Bit_1116,0.001277559
Bit_301,0.001274414
Bit_1665,0.0012643681
Bit_99,0.001259007
Bit_73,0.0012354112
Bit_65,0.0012313792
Bit_1667,0.001210157
Bit_1083,0.0012096642
Bit_1991,0.001209518
Bit_893,0.0012085057
Bit_486,0.0011976269
Bit_1922,0.0011963018
Bit_627,0.0011929433
Bit_654,0.0011862012
Bit_667,0.0011838124
Bit_283,0.0011798838
Bit_109,0.0011764497
Bit_556,0.0011719501
Bit_97,0.0011706781
Bit_373,0.0011590103
Bit_1601,0.001158487
Bit_1600,0.0011568186
Bit_251,0.0011561005
Bit_226,0.0011537175
Bit_644,0.0011527073
Bit_638,0.0011522243
Bit_227,0.0011285652
Bit_1988,0.0011263869
Bit_592,0.0011115426
Bit_1597,0.0011103175
Bit_130,0.0011095423
Bit_1447,0.0011083011
Bit_991,0.001103
Bit_693,0.0010929245
Bit_816,0.0010918203
Bit_1060,0.0010859271
Bit_1353,0.0010832389
Bit_711,0.001079505
Bit_88,0.0010784329
Bit_869,0.0010754252
Bit_1760,0.0010728906
Bit_557,0.0010666685
Bit_1441,0.0010629998
Bit_1801,0.0010521683
Bit_1150,0.0010517435
Bit_1589,0.001051322
Bit_1382,0.0010475605
Bit_1604,0.0010439953
Bit_747,0.0010431041
Bit_843,0.001042165
Bit_1603,0.001037685
Bit_836,0.0010324778
Bit_1494,0.0010309753
Bit_618,0.0010222443
Bit_1975,0.0010206453
Bit_1721,0.0010113803
Bit_335,0.0010101503
Bit_1349,0.0010072603
Bit_984,0.0010058042
Bit_1405,0.0009785229
Bit_1457,0.0009607217
Bit_361,0.0009607035
Bit_425,0.00095881056
Bit_775,0.0009585809
Bit_286,0.0009507636
Bit_1106,0.0009493057
Bit_767,0.0009389342
Bit_249,0.0009356625
Bit_1412,0.0009336993
Bit_1243,0.0009336369
Bit_932,0.0009304262
Bit_1195,0.000904007
Bit_1314,0.0009037495
Bit_1791,0.00089618366
Bit_147,0.0008790323
Bit_1970,0.00087759097
Bit_949,0.0008631462
Bit_1833,0.0008577323
Bit_1329,0.000857141
Bit_1887,0.0008531999
Bit_193,0.0008529565
Bit_1718,0.00084705284
Bit_1267,0.0008448137
Bit_1451,0.00084395526
Bit_309,0.0008406331
Bit_1747,0.0008390479
Bit_354,0.0008354875
Bit_487,0.0008338979
Bit_280,0.0008315479
Bit_105,0.00083099713
Bit_1131,0.0008293765
Bit_1287,0.00082642486
Bit_1004,0.00081488886
Bit_1954,0.0008147255
Bit_1657,0.00081183924
Bit_1087,0.0008107732
Bit_824,0.0008101245
Bit_1221,0.00080937566
Bit_446,0.00080573274
Bit_603,0.0007992988
Bit_59,0.00079896994
Bit_383,0.0007952759
Bit_1934,0.0007927022
Bit_235,0.00078771444
Bit_1790,0.0007823329
Bit_41,0.0007639367
Bit_1793,0.0007632432
Bit_79,0.0007553833
Bit_1149,0.0007526978
Bit_728,0.0007517064
Bit_1302,0.0007476034
Bit_1951,0.0007416908
Bit_759,0.0007385009
Bit_1046,0.00073131174
Bit_610,0.0007274385
Bit_1663,0.00072660146
Bit_1639,0.00072332425
Bit_838,0.00072225946
Bit_1049,0.0007189219
Bit_1043,0.00071701343
Bit_1734,0.0007151387
Bit_1162,0.00071501004
Bit_766,0.0007146467
Bit_864,0.0007146209
Bit_717,0.00071141095
Bit_57,0.000710581
Bit_1201,0.0007097652
Bit_689,0.0007072793
Bit_653,0.00070661807
Bit_118,0.0006973959
Bit_1691,0.00069504883
Bit_2004,0.00069187715
Bit_29,0.0006891773
Bit_2028,0.00068769045
Bit_6,0.00068701425
Bit_1298,0.0006836369
Bit_1573,0.0006810964
Bit_1646,0.00067792163
Bit_674,0.000671916
Bit_583,0.0006696753
Bit_1854,0.000669025
Bit_362,0.0006675725
Bit_284,0.0006672966
Bit_1141,0.0006617752
Bit_965,0.0006579347
Bit_1486,0.0006546766
Bit_760,0.0006527892
Bit_739,0.00065011275
Bit_622,0.000649794
Bit_323,0.00064938667
Bit_1773,0.0006491336
Bit_145,0.00064075226
Bit_1964,0.000640312
Bit_1781,0.0006377761
Bit_1847,0.0006372637
Bit_863,0.0006359981
Bit_905,0.0006344776
Bit_253,0.00063420885
Bit_208,0.0006258069
Bit_1619,0.00062477053
Bit_548,0.00062244706
Bit_1694,0.0006196928
Bit_396,0.0006182904
Bit_945,0.0006118415
Bit_34,0.00060468994
Bit_1262,0.00060189486
Bit_1169,0.000601789
Bit_479,0.0005967804
Bit_1614,0.0005951997
Bit_2018,0.0005921321
Bit_1351,0.00059134833
Bit_1693,0.00058917707
Bit_1738,0.0005880249
Bit_14,0.0005825611
Bit_826,0.00057534315
Bit_1252,0.000573425
Bit_61,0.0005732862
Bit_1518,0.00057193375
Bit_243,0.0005718039
Bit_1637,0.0005710367
Bit_288,0.00057099457
Bit_967,0.00056695886
Bit_364,0.0005668935
Bit_961,0.0005665908
Bit_1572,0.0005635141
Bit_1925,0.0005621851
Bit_1921,0.00055906584
Bit_813,0.00054724934
Bit_2033,0.0005468508
Bit_1257,0.00054408796
Bit_1070,0.00054305315
Bit_74,0.00054250786
Bit_83,0.0005422745
Bit_392,0.000541751
Bit_1480,0.0005402647
Bit_30,0.0005399457
Bit_163,0.0005398623
Bit_1445,0.0005386304
Bit_1003,0.00053827
Bit_165,0.00053704146
Bit_1895,0.0005343151
Bit_1905,0.00052883837
Bit_1272,0.00052808406
Bit_36,0.0005244108
Bit_1654,0.00051898387
Bit_357,0.000517129
Bit_1509,0.00051471556
Bit_572,0.0005140491
Bit_657,0.0005126106
Bit_1840,0.00051093526
Bit_1507,0.0005099434
Bit_107,0.0005095719
Bit_494,0.00050883245
Bit_115,0.00050686783
Bit_1765,0.0005053523
Bit_682,0.00050446467
Bit_90,0.0005038902
Bit_1670,0.0005037602
Bit_104,0.00050186063
Bit_1762,0.0005018024
Bit_1939,0.0005016246
Bit_591,0.00049812504
Bit_476,0.0004976117
Bit_960,0.0004973635
Bit_918,0.0004899732
Bit_1537,0.00048749518
Bit_2044,0.00048360287
Bit_1411,0.00048059697
Bit_1328,0.0004743603
Bit_419,0.0004724126
Bit_94,0.0004689777
Bit_313,0.00046816666
Bit_1258,0.000467948
Bit_1998,0.00046705728
Bit_2000,0.00046569013
Bit_981,0.0004642418
Bit_598,0.00046211353
Bit_292,0.00046035333
Bit_95,0.0004563882
Bit_1148,0.0004556495
Bit_350,0.00045521383
Bit_1530,0.00045325715
Bit_1241,0.00045062185
Bit_266,0.00044680896
Bit_463,0.00044635436
Bit_1307,0.00044583756
Bit_708,0.000445772
Bit_590,0.0004451617
Bit_333,0.0004425292
Bit_555,0.00044238436
Bit_1884,0.00044033868
Bit_327,0.00044001755
Bit_2021,0.00043889962
Bit_1517,0.0004366909
Bit_1700,0.00043547936
Bit_1295,0.0004341013
Bit_1384,0.0004313676
Bit_660,0.0004274211
Bit_242,0.00042439293
Bit_106,0.0004229542
Bit_753,0.00042288058
Bit_671,0.00041672235
Bit_1172,0.00041650218
Bit_690,0.00041577127
Bit_1050,0.00041371316
Bit_197,0.00041162802
Bit_1920,0.00040990984
Bit_51,0.00040989753
Bit_184,0.0004096891
Bit_1440,0.0004036649
Bit_1542,0.00040162052
Bit_190,0.00040158065
Bit_632,0.00040086696
Bit_859,0.0004006708
Bit_1649,0.00040066615
Bit_157,0.0004000668
Bit_1387,0.00039853176
Bit_60,0.0003985152
Bit_295,0.0003969995
Bit_721,0.0003955726
Bit_1008,0.000393858
Bit_1730,0.00039168168
Bit_1025,0.00038999834
Bit_845,0.00038993513
Bit_1995,0.00038973123
Bit_448,0.00038948163
Bit_491,0.0003886673
Bit_1492,0.00038669544
Bit_735,0.00038627264
Bit_614,0.00038618044
Bit_86,0.00038492525
Bit_795,0.00038133044
Bit_1866,0.00038009638
Bit_1504,0.000380049
Bit_867,0.00037665202
Bit_895,0.00037583933
Bit_1154,0.00037382587
Bit_43,0.00037219023
Bit_1977,0.00037036356
Bit_1856,0.00037002083
Bit_784,0.00036974554
Bit_1096,0.00036666915
Bit_519,0.00036431657
Bit_1481,0.00036417993
Bit_1058,0.0003637721
Bit_832,0.0003605873
Bit_1276,0.0003592707
Bit_1853,0.00035687056
Bit_146,0.00035529674
Bit_1352,0.00035103926
Bit_692,0.00035044306
Bit_1101,0.00034374968
Bit_1810,0.00034330742
Bit_2009,0.00034241157
Bit_89,0.0003418976
Bit_1193,0.000340234
Bit_615,0.00033965844
Bit_679,0.00033860843
Bit_1093,0.00033838098
Bit_521,0.00033702108
Bit_325,0.00033638906
Bit_1512,0.00033472534
Bit_1996,0.00033460264
Bit_262,0.0003337794
Bit_975,0.00033225544
Bit_485,0.00033193067
Bit_507,0.0003319138
Bit_885,0.00032990053
Bit_1294,0.00032958793
Bit_1932,0.00032944034
Bit_1634,0.00032813073
Bit_1240,0.00032737537
Bit_1503,0.00032707216
Bit_334,0.0003269681
Bit_278,0.0003262317
Bit_1284,0.00032230615
Bit_879,0.0003208623
Bit_1846,0.0003199473
Bit_514,0.00031898005
Bit_973,0.0003183073
Bit_50,0.00031709418
Bit_1726,0.00031683312
Bit_1640,0.00031652622
Bit_1260,0.00031395745
Bit_26,0.0003132093
Bit_687,0.00031218491
Bit_37,0.00031184196
Bit_738,0.00030998554
Bit_345,0.000307241
Bit_2022,0.00030493736
Bit_1479,0.00030412563
Bit_886,0.00030363427
Bit_526,0.00030211924
Bit_164,0.000299654
Bit_715,0.00029955502
Bit_1983,0.0002994112
Bit_1521,0.0002963782
Bit_1317,0.0002946761
Bit_1403,0.00029382523
Bit_684,0.00029200854
Bit_1609,0.00028959892
Bit_1270,0.00028880202
Bit_2005,0.00028819646
Bit_66,0.000285349
Bit_1176,0.0002833385
Bit_142,0.0002829295
Bit_1249,0.00028137228
Bit_1900,0.00028089265
Bit_4,0.00027959383
Bit_103,0.0002741738
Bit_883,0.0002733451
Bit_597,0.00027324128
Bit_302,0.00027260784
Bit_554,0.00027205664
Bit_779,0.00027162235
Bit_330,0.00027151298
Bit_1811,0.00027056277
Bit_1999,0.0002705494
Bit_407,0.00026987246
Bit_1435,0.00026966596
Bit_996,0.00026944675
Bit_901,0.00026860496
Bit_1867,0.00026769692
Bit_39,0.00026741688
Bit_809,0.00026693355
Bit_1535,0.00026386065
Bit_909,0.00026235348
Bit_1433,0.0002620439
Bit_1055,0.00026152763
Bit_1011,0.00026003344
Bit_623,0.00026002154
Bit_1709,0.0002572559
Bit_552,0.00025723074
Bit_537,0.00025720018
Bit_794,0.0002529253
Bit_807,0.00025289625
Bit_1908,0.00025140846
Bit_1365,0.00025051448
Bit_1919,0.0002503087
Bit_1823,0.00025005967
Bit_406,0.00025000182
Bit_67,0.00024860038
Bit_1316,0.00024838108
Bit_1389,0.0002474136
Bit_5,0.0002473448
Bit_1386,0.000246817
Bit_1013,0.00024637996
Bit_888,0.00024608104
Bit_402,0.00024602006
Bit_1986,0.00024501252
Bit_482,0.00024487483
Bit_523,0.00024456112
Bit_788,0.00024264707
Bit_191,0.00023713207
Bit_611,0.00023663879
Bit_915,0.00023493472
Bit_8,0.0002345624
Bit_483,0.0002331665
Bit_1616,0.00023261661
Bit_931,0.00023225829
Bit_790,0.00023192997
Bit_282,0.00023123228
Bit_811,0.00022983576
Bit_1645,0.00022977822
Bit_994,0.00022888945
Bit_601,0.00022644603
Bit_1756,0.00022615968
Bit_441,0.00022510996
Bit_1553,0.00022471538
Bit_52,0.00022386125
Bit_586,0.0002220184
Bit_469,0.0002217875
Bit_1701,0.0002216785
Bit_606,0.00022132658
Bit_42,0.00022089861
Bit_56,0.00021928028
Bit_497,0.00021812075
Bit_496,0.00021769597
Bit_2011,0.00021652722
Bit_1128,0.00021559022
Bit_225,0.00021491408
Bit_545,0.00021421275
Bit_575,0.00021262813
Bit_1263,0.00021143384
Bit_409,0.00021127421
Bit_1516,0.00021038494
Bit_547,0.00020979857
Bit_1489,0.00020925015
Bit_1534,0.00020765931
Bit_1755,0.00020684156
Bit_1056,0.00020561877
Bit_245,0.00020556591
Bit_1104,0.00020485566
Bit_281,0.0002045906
Bit_1033,0.00020254597
Bit_16,0.00020246675
Bit_613,0.00020002153
Bit_230,0.0001993234
Bit_100,0.00019864332
Bit_1695,0.00019810989
Bit_1350,0.00019697615
Bit_1042,0.00019639554
Bit_1620,0.00019362387
Bit_219,0.0001935799
Bit_76,0.00019330891
Bit_303,0.0001928431
Bit_62,0.00019136551
Bit_642,0.00019126634
Bit_466,0.0001911786
Bit_636,0.00019115832
Bit_1808,0.00019037677
Bit_1119,0.00019000107
Bit_199,0.0001897517
Bit_128,0.00018838065
Bit_916,0.00018700359
Bit_541,0.00018591023
Bit_1031,0.00018582726
Bit_510,0.00018554965
Bit_1876,0.00018328759
Bit_1971,0.00018256386
Bit_876,0.0001821625
Bit_387,0.00018196783
Bit_2043,0.00017977749
Bit_170,0.00017943996
Bit_535,0.00017856291
Bit_68,0.00017669686
Bit_1839,0.00017591052
Bit_1959,0.0001755417
Bit_465,0.00017511309
Bit_265,0.00017505478
Bit_1493,0.0001738338
Bit_1427,0.00017356058
Bit_803,0.00017284676
Bit_1358,0.00017274258
Bit_1715,0.0001724433
Bit_825,0.00017095137
Bit_174,0.00016997139
Bit_1265,0.00016975924
Bit_371,0.00016784822
Bit_1923,0.00016436345
Bit_1459,0.00016384543
Bit_1120,0.00016313483
Bit_457,0.00016272103
Bit_1666,0.00016111122
Bit_609,0.00016039179
Bit_78,0.00015973931
Bit_1515,0.00015905121
Bit_1863,0.00015783393
Bit_315,0.0001575401
Bit_947,0.00015732387
Bit_1658,0.0001563749
Bit_979,0.00015616242
Bit_1020,0.00015541266
Bit_672,0.00015459667
Bit_188,0.0001545377
Bit_432,0.000153755
Bit_1238,0.0001521691
Bit_21,0.00015204198
Bit_143,0.00015166691
Bit_1539,0.00015162297
Bit_428,0.00014913573
Bit_206,0.00014891101
Bit_1684,0.00014889467
Bit_1557,0.00014694098
Bit_1629,0.00014640408
Bit_64,0.00014592869
Bit_488,0.00014530124
Bit_1297,0.00014437498
Bit_121,0.00014383465
Bit_1978,0.00014241415
Bit_1799,0.00014176781
Bit_204,0.00014147261
Bit_664,0.00013979319
Bit_1742,0.00013861949
Bit_913,0.00013860383
Bit_1222,0.00013855414
Bit_1946,0.0001375993
Bit_663,0.00013733775
Bit_1326,0.0001372397
Bit_1852,0.00013680811
Bit_291,0.00013636546
Bit_1555,0.00013457304
Bit_980,0.00013454918
Bit_704,0.00013444337
Bit_782,0.00013425674
Bit_1206,0.00013382286
Bit_2041,0.00013363216
Bit_1543,0.00013315973
Bit_32,0.00013308378
Bit_1216,0.00013206044
Bit_1772,0.00013183377
Bit_748,0.00013180384
Bit_192,0.00013053835
Bit_887,0.00013052045
Bit_386,0.00012986902
Bit_415,0.00012909716
Bit_139,0.00012852116
Bit_87,0.0001285064
Bit_214,0.00012810898
Bit_706,0.00012749717
Bit_241,0.00012680567
Bit_676,0.00012627916
Bit_342,0.00012627056
Bit_1953,0.00012539505
Bit_300,0.00012531031
Bit_1993,0.0001251884
Bit_744,0.00012420124
Bit_1415,0.00012339531
Bit_449,0.00012296099
Bit_1261,0.00012279616
Bit_574,0.00012182353
Bit_401,0.0001218114
Bit_733,0.000120866636
Bit_1366,0.00012082251
Bit_912,0.000120233875
Bit_972,0.00011995666
Bit_110,0.00011993142
Bit_123,0.000119850185
Bit_149,0.00011960776
Bit_93,0.00011932862
Bit_1948,0.00011920278
Bit_1341,0.00011803224
Bit_148,0.00011796354
Bit_1720,0.0001175263
Bit_774,0.000116485324
Bit_1982,0.00011641769
Bit_240,0.00011608364
Bit_391,0.000116080024
Bit_942,0.00011534227
Bit_365,0.00011506976
Bit_661,0.00011501791
Bit_297,0.00011326249
Bit_390,0.00011304942
